date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-19,Bartholomew County,102,105,,109,103,100
2020-02-19,Benton County,,,,,101,
2020-02-19,Blackford County,105,97,,,103,
2020-02-19,Boone County,98,100,,100,101,100
2020-02-19,Brown County,111,94,,,101,
2020-02-19,Carroll County,108,118,,,99,
2020-02-19,Cass County,111,100,,,101,99
2020-02-19,Clark County,105,102,114,102,103,100
2020-02-19,Clay County,100,93,,107,101,99
2020-02-19,Clinton County,105,107,,,102,100
2020-02-19,Crawford County,,,,104,104,
2020-02-19,Daviess County,97,102,,,103,99
2020-02-19,Dearborn County,103,106,,,99,100
2020-02-19,Decatur County,106,108,,105,100,100
2020-02-19,DeKalb County,104,92,,,102,99
2020-02-19,Delaware County,105,100,,105,103,99
2020-02-19,Dubois County,106,102,,,101,100
2020-02-19,Elkhart County,107,96,102,111,102,99
2020-02-19,Fayette County,102,99,,,105,99
2020-02-19,Floyd County,103,98,,,101,100
2020-02-19,Fountain County,101,92,,,99,
2020-02-19,Franklin County,104,99,,,103,
2020-02-19,Fulton County,105,104,,,102,
2020-02-19,Gibson County,109,105,,95,106,99
2020-02-19,Grant County,106,99,,108,103,99
2020-02-19,Greene County,102,103,,,106,100
2020-02-19,Hamilton County,103,101,111,,102,100
2020-02-19,Hancock County,104,114,,106,104,99
2020-02-19,Harrison County,106,106,,,104,100
2020-02-19,Hendricks County,105,105,,105,101,100
2020-02-19,Henry County,106,103,,101,102,100
2020-02-19,Howard County,102,104,,,102,99
2020-02-19,Huntington County,105,99,,,102,99
2020-02-19,Jackson County,103,103,,100,99,101
2020-02-19,Jasper County,102,97,,104,103,99
2020-02-19,Jay County,102,96,,,102,
2020-02-19,Jefferson County,109,101,,,101,100
2020-02-19,Jennings County,103,105,,,102,100
2020-02-19,Johnson County,103,110,,97,101,100
2020-02-19,Knox County,106,104,,,103,99
2020-02-19,Kosciusko County,106,102,,,101,100
2020-02-19,LaGrange County,102,100,,102,102,99
2020-02-19,Lake County,103,99,110,111,102,100
2020-02-19,LaPorte County,105,97,102,105,103,100
2020-02-19,Lawrence County,104,104,,,101,101
2020-02-19,Madison County,107,101,,104,102,99
2020-02-19,Marion County,103,100,106,106,102,100
2020-02-19,Marshall County,103,103,,99,99,100
2020-02-19,Martin County,100,98,,,99,
2020-02-19,Miami County,112,106,,,99,100
2020-02-19,Monroe County,101,103,,100,101,100
2020-02-19,Montgomery County,110,110,,,101,101
2020-02-19,Morgan County,107,112,,,102,100
2020-02-19,Newton County,107,,,,105,
2020-02-19,Noble County,111,112,,,99,100
2020-02-19,Ohio County,,,,,102,
2020-02-19,Orange County,106,110,,,101,
2020-02-19,Owen County,95,102,,,101,
2020-02-19,Parke County,,105,,,104,
2020-02-19,Perry County,96,105,,,98,
2020-02-19,Pike County,,,,,105,
2020-02-19,Porter County,101,98,101,103,101,100
2020-02-19,Posey County,106,98,,,105,
2020-02-19,Pulaski County,106,,,,103,
2020-02-19,Putnam County,105,104,,,104,99
2020-02-19,Randolph County,106,101,,,102,99
2020-02-19,Ripley County,107,94,,,102,101
2020-02-19,Rush County,104,99,,,102,
2020-02-19,Scott County,104,102,,,103,100
