,date,case_count_daily,avg_cases_by_week,grociery_pharmacy_mobility,parks_mobility,retail_recreation_mobility,transit_stations_mobility,workplace_mobility,driving_mobility_vehicle,transit_mobility_vehicle,walking_mobility_instance,std_last_week_grociery_pharmacy_mobility,std_last_week_park_mobility,std_last_week_retail_recreation_mobility,std_last_week_transit_station_mobility,std_last_week_workplace_mobility
89,5.14.20,30.0,401.0,92,96,69,65,57,100.48,47.34,93.94,5.90248131841904,24.927036383355798,4.62137889132052,5.2081666639999105,6.968039281503191
90,5.15.20,79.0,401.0,95,108,69,66,58,115.49,50.47,111.61,5.96268156357284,24.700708491863104,4.62137889132052,5.23722936566382,6.713525792862389
91,5.16.20,52.0,339.0,99,210,70,81,77,112.24,52.5,114.66,5.97614304667197,40.721835139674795,4.98390265898981,6.823017765517791,8.4673743611245
92,5.17.20,49.0,339.0,93,132,69,62,74,80.1,40.86,80.55,3.89138242053607,37.6515983345044,4.83292280686779,6.5628826419058095,8.63547500554709
93,5.18.20,47.0,339.0,93,101,76,66,60,104.31,54.78,97.63,3.50255009141299,38.407588535898206,4.26781978465419,6.5123509031466,8.27647267862342
94,5.19.20,54.0,339.0,98,82,76,66,60,104.16,51.54,95.57,2.8157719063467206,39.3226125421857,4.26781978465419,5.97614304667197,8.07000619578449
95,5.20.20,35.0,339.0,97,103,76,68,59,108.28,45.2,99.95,2.7222627143085,39.783117381264,4.26781978465419,5.693040864574421,7.9955344679747
96,5.21.20,57.0,339.0,98,102,76,69,60,114.43,48.11,107.5,2.7222627143085,40.1737298670234,4.20671232335045,5.693040864574421,7.754031209635411
97,5.22.20,47.0,339.0,99,156,76,78,61,139.67,55.98,140.53,2.50713268211203,41.3305490613697,3.9798600118956102,6.5465367070797695,7.42462120245875
98,5.23.20,56.0,304.0,100,191,70,80,79,116.68,51.35,123.66,2.69589635239509,46.7330947280099,4.53360468375568,7.30459737816828,8.74642784226795
99,5.24.20,45.0,304.0,101,227,76,71,74,94.13,48.54,100.57,2.97309362689534,50.85483542117001,5.1478150704935,6.1644140029689805,8.27107697254199
100,5.25.20,29.0,304.0,97,200,74,61,29,92.37,46.19,100.81,2.4164614034339,55.424981474318706,5.775564289066731,6.35694221192188,14.7333441068696
101,5.26.20,53.0,304.0,101,141,82,75,61,116.01,51.43,114.04,1.64208056179609,52.5948123460317,5.705573715987849,6.36957051703084,14.7351620282914
102,5.27.20,24.0,304.0,102,137,82,75,62,115.67,55.12,113.64,1.92260983338497,45.5174613276519,5.52914356581818,6.151364540838539,14.744853823816399
103,5.28.20,41.0,304.0,98,113,80,68,62,117.64,51.0,114.66,1.7728105208558402,43.928310103752295,5.52914356581818,6.151364540838539,14.7357679522601
104,5.29.20,61.0,304.0,97,139,77,75,63,135.29,57.16,151.15,1.92260983338497,38.792488227196,5.46253473346264,6.0812945050493,14.744853823816399
105,5.30.20,79.0,392.0,101,263,75,89,88,131.53,54.64,173.05,1.99553072067128,52.1726187080651,6.2549980015984,8.25919401117843,17.482644455083403
106,5.31.20,48.0,392.0,95,233,76,72,82,89.23,44.15,95.14,2.56347977784662,55.838894534698106,6.2549980015984,7.94175223558558,17.8600711884679
107,6.1.20,45.0,392.0,95,138,85,69,64,112.29,51.16,108.23,2.76457178290909,54.3533413350616,5.444525428617,8.05339325111737,17.4964282069227
108,6.2.20,51.0,392.0,107,153,91,76,63,120.15,54.48,113.54,4.07080195679286,53.23784234116611,4.30738568374965,6.44620597162171,10.5754094821092
109,6.3.20,58.0,392.0,107,136,89,74,64,117.01,54.91,115.7,4.86239212146215,53.58304635929971,4.30738568374965,6.453127702351559,10.337172865786
110,6.4.20,51.0,392.0,104,122,87,74,64,123.78,56.01,120.23,5.01426536422407,54.908853046272405,4.242640687119279,6.457277179386719,10.1805135991686
111,6.5.20,66.0,392.0,95,133,78,77,64,139.49,62.27,127.19,5.33017019294077,52.76616204674029,3.90741054188796,5.89794152952658,10.0142755247554
112,6.6.20,44.0,412.0,101,222,77,91,86,141.79,55.82,153.44,5.180664601601389,55.1154632178147,4.26781978465419,7.9597200237912205,11.2686353591348
113,6.7.20,81.0,412.0,104,250,85,80,83,105.03,48.22,103.16,5.31843156256751,52.26836656006329,4.47013901988997,6.67484617265233,10.347532487092199
114,6.8.20,55.0,412.0,100,159,89,75,65,122.31,60.02,116.55,4.77904652773811,46.431016419138295,4.23421438150827,6.45865974597561,9.53845599964391
115,6.9.20,43.0,412.0,101,115,87,77,65,121.35,55.02,110.79,3.99776723398735,48.9248695158491,4.15546112277051,5.60611910581388,9.467991188359711
116,6.10.20,42.0,412.0,102,136,89,76,64,126.7,58.18,118.01,3.53553390593274,49.6974776594777,4.23421438150827,5.60611910581388,9.37987968244491
117,6.11.20,48.0,412.0,103,167,91,80,65,134.63,58.58,128.96,2.91547594742265,48.8379243738189,4.1057451037714,5.39179270479018,9.30437685024788
118,6.12.20,107.0,412.0,99,164,85,80,65,149.87,60.24,152.61,2.77424378370549,45.9743717427749,3.9551051999734597,5.042675027063651,9.22632104362297
119,6.13.20,95.0,557.0,102,258,80,92,89,139.87,57.48,146.15,1.6035674514745502,52.9890487338118,4.53360468375568,6.54517270316725,11.0937562877246
120,6.14.20,52.0,557.0,99,285,87,82,86,108.2,50.01,114.24,1.8322507626258102,63.1681429655351,4.68279525802393,5.31171212645092,11.0937562877246
121,6.15.20,40.0,557.0,99,174,91,78,66,127.08,59.75,123.88,1.59798980865694,58.7141988181491,4.23421438150827,5.371884479132331,10.4599576617553
122,6.16.20,82.0,557.0,103,173,94,82,66,130.31,57.48,128.59,1.7728105208558402,58.1279377137805,4.18969825030054,4.998213966722799,10.3888676682578
123,6.17.20,85.0,557.0,103,171,92,81,65,133.54,63.47,129.87,1.90862703084106,51.6416221942838,4.1057451037714,4.74906005737677,10.3888676682578
124,6.18.20,84.0,557.0,103,161,92,82,65,139.23,62.22,133.59,1.99553072067128,48.4987113230857,3.8821937833432,4.22365785952008,10.3016988890183
125,6.19.20,124.0,557.0,100,168,87,83,64,162.88,60.82,168.77,1.9272482233188601,48.4200371747069,3.77964473009227,4.14039335605413,10.3888676682578
126,6.20.20,127.0,917.0,106,248,84,92,88,148.38,64.95,164.8,2.4164614034339,50.00499975002499,4.432026302139589,5.15474815790535,11.673382420826302
127,6.21.20,141.0,917.0,99,180,85,78,85,102.4,51.59,97.47,2.61861468283191,45.5443269165954,4.27409138213693,4.36708467646651,10.986192633093099
128,6.22.20,95.0,917.0,95,156,90,77,63,127.34,59.86,123.9,3.4226138716317003,28.9355811613117,4.03334317196754,4.74906005737677,10.1101080960732
129,6.23.20,141.0,917.0,103,172,94,82,64,133.98,58.76,133.16,3.3806170189140694,28.992301933937103,3.9551051999734597,4.51782185192315,10.2539191113865
130,6.24.20,97.0,917.0,101,184,94,82,65,140.3,56.54,142.56,3.32737562824346,28.9482296522603,3.9551051999734597,4.51782185192315,10.3155569062322
131,6.25.20,153.0,917.0,102,173,94,83,65,144.82,57.1,146.31,3.2705394924123103,28.8679258495851,3.87067731245358,4.50198368975912,10.3155569062322
132,6.26.20,168.0,917.0,97,162,87,82,65,168.37,65.8,177.7,3.46152319898955,28.7746788488967,3.77964473009227,4.50198368975912,10.3155569062322
133,6.27.20,141.0,1019.0,93,119,78,78,85,146.81,56.44,159.26,4.342481186734481,36.0743280305696,3.89138242053607,4.743416490252571,11.2376916795984
134,6.28.20,147.0,1019.0,95,192,86,78,87,113.17,53.39,117.44,3.6815175442433303,22.657386055261195,3.2705394924123103,2.44948974278318,11.04455263273
135,6.29.20,123.0,1019.0,98,136,93,77,65,133.0,60.42,125.03,3.6645015252516204,24.394085934329,2.74837614393871,2.58774584753383,9.99196105448203
136,6.30.20,141.0,1019.0,104,155,97,84,65,140.98,59.7,135.36,3.9798600118956102,24.4302944254523,2.6592157812837596,2.6592157812837596,9.818895777311939
137,7.1.20,138.0,1019.0,107,159,99,84,65,145.3,60.66,141.6,4.7188830397518,24.0713225940863,2.6592157812837596,2.8784916685157,9.7357955137582
138,7.2.20,175.0,1019.0,112,159,103,87,62,153.17,63.77,148.24,6.45865974597561,22.0482425603493,2.6152028055746896,3.58319490319543,10.020514671698
139,7.3.20,163.0,1019.0,112,167,93,82,43,148.47,61.52,162.15,7.5545634269247195,21.5170198414451,3.0237157840738202,3.5456210417116703,13.8402879821401
140,7.4.20,154.0,1071.0,97,214,64,86,70,122.27,54.43,131.29,7.5545634269247195,29.8038228612179,3.85449644663773,3.89138242053607,13.8435131792062
141,7.5.20,136.0,1071.0,89,200,80,77,80,110.13,48.57,113.99,8.3452296039628,26.434555307129997,4.30738568374965,4.051013982414069,13.0431974607456
142,7.6.20,151.0,1071.0,98,142,92,78,61,138.61,66.28,157.12,8.06115021923937,27.1345852057059,4.17475405605784,4.051013982414069,10.343217239193198
